Country or Territory,Population,2014 Peak Pubs.,Ratio 1 Publisher to,2014 Av. Pubs.,% Inc. Over 2013,2013 Av. Pubs.,2014 No. Bptzd.,Av. Aux. Pio. Pubs.,Av. Pio. Pubs.,No. of Congs.,Total Hours,Av. Bible Studies,Memorial Attendance
Nauru,10388,19,547,15,-6,15,1,1,1,1227,14,92
Nepal,27153225,2115,12838,2004,9,2004,141,134,753,36,817986,4515,7268
Netherlands,16859353,30285,557,29495,,29495,529,1339,1696,360,4677702,12421,51743
Nevis,12100,64,189,53,-4,53,2,2,1,8817,55,213
New Caledonia,266447,2269,123,2047,3,2047,100,163,185,30,487664,2901,6473
New Zealand,4526561,14501,312,13884,1,13884,397,683,1251,185,2582505,8408,26008
Nicaragua,6176000,27300,226,26169,5,26169,821,1397,4132,484,7067722,44264,88843
Niger,18530000,294,63027,282,-2,282,14,7,40,7,69565,377,805
Nigeria,159708000,362462,441,329757,3,320589,13307,17874,35960,5966,71862362,763158,737926
Niue,1398,26,54,25,-4,25,1,3,1,4708,20,54
Norfolk Island,2165,12,180,8,-11,8,1,1425,3,20,11133,239,939
Norway,5137679,11756,437,11359,2,11359,111,517,940,166,1937038,5614,17889
Pakistan,196174380,1013,193657,928,7,928,73,46,99,18,200900,1248,4035
Palau,21108,91,232,78,4,78,5,6,19,2,26883,182,233
Palestinian Territory,4550368,73,62334,70,3,70,3,3,12,2,17744,72,167
Panama,3931000,16217,242,15626,4,15626,584,982,2773,313,4428058,24236,54213
Papua New Guinea,7677264,4240,1811,3868,2,3868,230,245,415,106,952176,7078,34707
Paraguay,6800236,9760,697,9309,4,9309,469,594,1592,216,2811125,15165,24298
Peru,30769000,123251,250,117211,3,114153,5349,11207,27246,1387,39126476,194860,366023
Philippines,98909981,196249,504,190930,3,185387,9069,14048,35191,3186,46480898,242504,552942
Pohnpei,35981,78,461,74,-3,74,2,6,20,1,22996,158,212
Poland,38485779,123177,312,122381,-1,122381,1885,6385,7958,1327,19140641,52256,191524
Portugal,9976649,49402,202,48706,,48706,1076,3211,4288,644,10037634,28687,91472
Puerto Rico,3683600,26295,140,25709,,25709,600,1529,3535,324,5966791,16309,56404
Réunion,837617,3057,274,2961,2,2961,72,191,330,37,689321,2450,6297
Rodrigues,37922,47,807,43,8,43,5,5,1,11740,65,122
Romania,21290000,40605,524,40371,1,40371,890,2169,3831,548,7809840,25623,78300
Rota,2527,12,211,10,-41,10,2,3,1,4792,6,15
Russia,143930000,171268,840,165322,1,164187,4716,16873,29922,2480,48846830,116549,292058
Rwanda,11000000,25035,439,23507,6,22152,1561,2680,4145,563,9541885,67184,83107
Saba,2000,9,222,7,-13,7,1,2,3,3422,36,54
"St. Barthélemy",9171,29,316,24,,24,2,5,1,5798,48,84
St. Eustatius,4000,23,174,22,5,22,1,3,1,6820,40,93
St. Helena,4000,121,33,115,-1,115,1,2,3,9821,65,272
St. Kitts,51300,211,243,203,-1,203,12,9,34,4,53493,278,773
St. Lucia,182000,796,229,740,3,740,34,39,104,11,194300,1220,2296
"St. Maarten",46500,355,131,336,1,336,3,15,38,5,76529,450,1147
St. Martin,36992,328,113,311,6,311,4,15,28,5,68998,525,1037
St. Pierre and Miquelon,6311,16,394,15,,15,1,5,1,5198,6,22
"St. Vincent & the Grenadines",109400,338,324,332,-2,332,11,32,44,8,94908,511,1139
Saipan,48220,209,231,198,1,198,1,16,35,2,55010,314,557
Samoa,192067,572,336,522,5,522,29,28,79,12,140678,792,2065
San Marino,32000,207,155,204,,204,16,32,2,56121,115,351
"São Tomé and Príncipe",190428,735,259,708,5,708,73,70,150,11,279619,3041,3226
